area_sqft,bhk,property_type,lat,lon,price_inr
875,3,Apartment,23.0107147,72.4429208,9500000.0
2879,5,Apartment,22.996342,72.5043085,20600000.0
871,3,Apartment,23.1358111,72.5818846,6881000.0
1985,3,Apartment,23.0796581,72.4947377,16500000.0
1593,4,Apartment,23.119848,72.5152135,12500000.0
6326,5,Apartment,23.0107147,72.4429208,26800000.0
699,2,Apartment,23.1283467,72.558657,6000000.0
3170,4,Apartment,23.0535306,72.4934085,16299999.999999998
979,3,Apartment,22.9317728,72.5749418,3700000.0
1154,3,Apartment,23.1646919,72.5821046,4575000.0
4059,4,Apartment,23.0774129,72.4943545,16200000.000000002
7288,5,Apartment,23.0535306,72.4934085,89600000.00000001
1377,2,Apartment,23.0556364,72.5965538,10800000.0
931,3,Apartment,23.0107147,72.4429208,7392000.0
1422,2,Apartment,23.1360943,72.5425805,6162000.0
860,3,Apartment,23.0732586,72.6508299,8199999.999999999
4393,5,Apartment,23.1701591,72.526586,61000000.0
3000,3,Apartment,23.0445921,72.517344,33500000.0
3843,4,Apartment,23.0774129,72.4943545,18200000.0
3906,4,Apartment,23.057541,72.5435085,25700000.0
3400,4,Apartment,23.0485393,72.511742,35000000.0
11090,6,Apartment,23.0796581,72.4947377,45800000.0
1845,3,Apartment,23.1358111,72.5818846,6662000.0
2376,3,Apartment,23.1360943,72.5425805,13500000.0
986,3,Apartment,23.021803,72.4747707,7200000.0
1750,3,Apartment,23.0544372,72.4720756,8225000.0
3785,5,Apartment,23.0544372,72.4720756,25000000.0
933,3,Apartment,23.1283467,72.558657,5200000.0
948,3,Apartment,23.1283467,72.558657,7100000.0
850,3,Apartment,23.1358111,72.5818846,7500000.0
1730,3,Apartment,23.1043633,72.5493536,12500000.0
5615,4,Apartment,22.9992107,72.5599564,69800000.0
853,3,Apartment,23.0980012,72.7096941,8500000.0
1700,3,Apartment,23.1143235,72.5587865,9500000.0
2015,4,Apartment,23.1010002,72.5408363,12800000.0
746,3,Apartment,22.9993547,72.6137203,5400000.0
2475,4,Apartment,23.0445921,72.517344,39600000.0
1200,4,Villa,22.9969634,72.633455,11000000.0
1750,3,Apartment,23.0544372,72.4720756,8225000.0
1066,3,Apartment,23.081994,72.5519258,12500000.0
2105,4,Apartment,23.0232163,72.4708784,31000000.0
1663,3,Apartment,23.3254747,72.0554467,9300000.0
765,2,Apartment,23.0787426,72.6681866,9500000.0
899,3,Apartment,23.0232163,72.4708784,8199999.999999999
2340,4,Apartment,23.1201139,72.6251307,13000000.0
3120,4,Apartment,23.0567133,72.5508575,17100000.0
650,2,Apartment,23.1283467,72.558657,6000000.0
1258,3,Apartment,23.0145531,72.5635432,15400000.0
861,3,Apartment,23.0544372,72.4720756,9767000.0
2610,4,Villa,23.0063315,72.536517,12000000.0
882,3,Apartment,22.9969634,72.633455,4739000.0
4833,5,Apartment,23.0544372,72.4720756,45000000.0
1437,3,Apartment,22.9948656,72.6624431,12600000.0
1566,4,Apartment,23.081994,72.5519258,11900000.0
1117,3,Apartment,23.081994,72.5519258,12000000.0
3240,4,Apartment,23.1143235,72.5587865,32500000.0
1135,3,Apartment,23.2467926,72.4855418,15100000.0
2367,3,Villa,22.9645191,72.4704112,19500000.0
3060,5,Apartment,22.7233653,72.4382809,20000000.0
1800,3,Villa,23.2770506,72.0875893,41100000.0
1725,3,Apartment,23.0107147,72.4429208,8400000.0
945,2,Apartment,23.0847978,72.5512141,3500000.0
820,3,Apartment,23.0232163,72.4708784,5300000.0
2731,4,Apartment,22.996342,72.5043085,9900000.0
3897,4,Apartment,23.107121,72.5848584,12700000.0
1500,3,Apartment,23.217789,72.667326,7500000.0
999,2,Apartment,23.0682646,72.5624497,7500000.0
811,3,Apartment,23.0107147,72.4429208,5130000.0
1458,2,Apartment,23.1100643,72.5811205,6550000.0
2160,3,Apartment,23.1646919,72.5821046,7900000.0
1291,3,Villa,23.1100643,72.5811205,53500000.0
1827,4,Villa,23.0283548,72.4972944,29000000.0
1080,2,Apartment,22.9948656,72.6624431,4099999.9999999995
4690,4,Villa,23.0012666,72.5877721,34000000.0
859,3,Apartment,23.1360943,72.5425805,11000000.0
1475,3,Apartment,23.017704,72.4696021,8500000.0
1470,3,Apartment,23.0907373,72.5906069,6000000.0
5850,5,Apartment,23.0399395,72.5020526,25000000.0
1500,3,Apartment,22.983483,72.5007203,3990000.0
8318,5,Villa,22.8927975,72.4910926,22900000.0
1341,2,Apartment,23.2145657,72.6856816,6500000.0
700,2,Apartment,22.8278859,72.3684741,4400000.0
1294,3,Apartment,23.0535306,72.4934085,17100000.0
741,2,Apartment,23.2145657,72.6856816,5975000.0
557,2,Apartment,22.9948656,72.6624431,3851000.0
672,2,Apartment,23.0057574,72.6269822,9500000.0
1737,3,Apartment,23.0176555,72.5180484,20000000.0
1350,2,Apartment,23.0456662,72.6409989,5500000.0
1080,2,Apartment,23.1143235,72.5587865,6990000.0
1746,3,Apartment,23.0672116,72.6429212,11500000.0
2500,3,Apartment,23.2952507,72.3367265,11500000.0
4215,5,Apartment,23.0535306,72.4934085,89000000.0
1144,2,Apartment,23.038676,72.5596366,6100000.0
1845,3,Apartment,23.1360943,72.5425805,9500000.0
1540,3,Apartment,23.1360943,72.5425805,11000000.0
10500,6,Villa,23.1589328,72.5380315,80000000.0
